sp_number,tbs_quantity,kg_quantity,price_per_kg,total_amount,sale_date,customer_name,customer_address
SP010,1000.5,950.2,2500,2375500,10/25/2025,PT Sawit Makmur,Jl. Raya Sawit No. 123, Medan
SP011,1200.75,1140.8,2500,2852000,10/25/2025,CV Minyak Nabati,Jl. Kemiri Raya No. 45, Jakarta
SP012,950.25,902.75,2500,2256875,10/25/2025,PT Kelapa Sawit Indonesia,Jl. Tanjung Morawa No. 78, Sumatera Utara
SP013,1025.75,975.3,2600,2535780,10/26/2025,CV Sawit Sejahtera,Jl. Binjai No. 101, Sumatera Utara
SP014,1150.5,1090.25,2450,2670612.5,10/26/2025,PT Minyak Sawit Makmur,Jl. Stabat No. 202, Sumatera Utara
SP015,975.25,926.75,2550,2363212.5,10/26/2025,CV Tandan Kosong,Jl. Kuala Namu No. 303, Sumatera Utara
SP016,1050.75,998.25,2400,2395800,10/27/2025,PT Buah Segar,Jl. Medan-Tj. Morawa No. 404, Sumatera Utara
SP017,1175.5,1116.75,2650,2960887.5,10/27/2025,CV Buah Sawit,Jl. Deli Serdang No. 505, Sumatera Utara
SP018,925.25,879.25,2350,2066237.5,10/27/2025,PT TBS Premium,Jl. Langkat No. 606, Sumatera Utara
SP019,1075.75,1022.375,2575,2634531.25,10/28/2025,CV Buah Jaya,Jl. Karo No. 707, Sumatera Utara
SP020,1125.5,1069.25,2475,2645737.5,10/28/2025,PT Sawit Sehat,Jl. Simalungun No. 808, Sumatera Utara
SP021,900.25,855.25,2525,2159381.25,10/28/2025,CV TBS Makmur,Jl. Toba Samosir No. 909, Sumatera Utara
SP022,1100.75,1045.875,2625,2745543.75,10/29/2025,PT Buah Nusantara,Jl. Asahan No. 1010, Sumatera Utara
SP023,950.25,902.75,2375,2141543.75,10/29/2025,CV Sawit Indonesia,Jl. Labuhan Batu No. 1111, Sumatera Utara
SP024,1150.5,1093.25,2550,2787787.5,10/29/2025,PT TBS Sejahtera,Jl. Mandailing Natal No. 1212, Sumatera Utara
SP025,1025.75,974.375,2425,2362318.75,10/30/2025,CV Buah Segar,Jl. Nias No. 1313, Sumatera Utara
SP026,1075.5,1021.875,2675,2732006.25,10/30/2025,PT Sawit Nusantara,Jl. Pakpak Bharat No. 1414, Sumatera Utara
SP027,925.25,879.25,2325,2042256.25,10/30/2025,CV TBS Indonesia,Jl. Humbang Hasundutan No. 1515, Sumatera Utara
SP028,1125.75,1069.375,2575,2754140.625,10/31/2025,PT Buah Makmur,Jl. Tapanuli Selatan No. 1616, Sumatera Utara
SP029,975.5,926.875,2475,2294015.625,10/31/2025,CV Sawit Makmur,Jl. Tapanuli Utara No. 1717, Sumatera Utara
