transaction_number,date,sp_number,vehicle_number,tbs_quantity,kg_quantity,division,pks
TRX010,10/26/2025,SP010,B1234XYZ,1025.75,975.3,Afdeling A,PKS 1
TRX011,10/26/2025,SP011,B5678XYZ,1150.5,1090.25,Afdeling B,PKS 2
TRX012,10/26/2025,SP012,B9012XYZ,980.25,932.75,Afdeling C,PKS 3
TRX013,10/26/2025,SP013,B1234XYZ,1050.5,1000.466667,Afdeling A,PKS 4
TRX014,10/26/2025,SP014,B5678XYZ,925.125,876.741667,Afdeling B,PKS 5
TRX015,10/27/2025,SP015,B9012XYZ,960,913.016667,Afdeling C,PKS 6
TRX016,10/27/2025,SP016,B1234XYZ,934.875,889.291667,Afdeling A,PKS 7
TRX017,10/27/2025,SP017,B5678XYZ,909.75,865.566667,Afdeling B,PKS 8
TRX018,10/27/2025,SP018,B9012XYZ,884.625,841.841667,Afdeling C,PKS 9
TRX019,10/27/2025,SP019,B1234XYZ,1010.5,960.2,Afdeling A,PKS 1
TRX020,10/28/2025,SP020,B5678XYZ,1175.75,1115.8,Afdeling B,PKS 2
TRX021,10/28/2025,SP021,B9012XYZ,940.25,892.75,Afdeling C,PKS 3
TRX022,10/28/2025,SP022,B1234XYZ,1075.25,1025.466667,Afdeling A,PKS 4
TRX023,10/28/2025,SP023,B5678XYZ,950.125,901.741667,Afdeling B,PKS 5
TRX024,10/28/2025,SP024,B9012XYZ,915,868.016667,Afdeling C,PKS 6
TRX025,10/29/2025,SP025,B1234XYZ,944.875,899.291667,Afdeling A,PKS 7
TRX026,10/29/2025,SP026,B5678XYZ,919.75,875.566667,Afdeling B,PKS 8
TRX027,10/29/2025,SP027,B9012XYZ,894.625,851.841667,Afdeling C,PKS 9
TRX028,10/29/2025,SP028,B1234XYZ,1035.5,985.2,Afdeling A,PKS 1
TRX029,10/29/2025,SP029,B5678XYZ,1160.75,1100.8,Afdeling B,PKS 2
